BIOTOPE_SHORT_TERM1,BIOTOPE_FULL_TERM1,BIOTOPE_CODE1,CLASSN1,BIOTOPE_SHORT_TERM2,BIOTOPE_FULL_TERM2,BIOTOPE_CODE2,CLASSN2,RELATIONSHIP,
Asplenium trichomanes-Asplenium ruta-muraria community,<i>Asplenium trichomanes</i>-<i>Asplenium ruta-muraria</i> community,OV39 ,National Vegetation Classification,Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,may be included in,
Asplenium trichomanes-Asplenium ruta-muraria community,<i>Asplenium trichomanes</i>-<i>Asplenium ruta-muraria</i> community,OV39 ,National Vegetation Classification,Boundaries: wall,Boundaries: wall,J25,Phase 1 Habitat Classification,overlaps with,
Asplenium trichomanes-Asplenium ruta-muraria community,<i>Asplenium trichomanes</i>-<i>Asplenium ruta-muraria</i> community,OV39 ,National Vegetation Classification,"Natural rock exposure: other exposure, basic","Natural rock exposure: other exposure, basic",I142,Phase 1 Habitat Classification,overlaps with,
Asplenium trichomanes-Asplenium ruta-muraria community,<i>Asplenium trichomanes</i>-<i>Asplenium ruta-muraria</i> community,OV39 ,National Vegetation Classification,Plants in crevices in base-rich rocks,Calcareous rocky slopes with chasmophytic vegetation,H8210,EU Habitats Directive Annex I,overlaps with,H8210
Asplenium trichomanes-Asplenium ruta-muraria community,<i>Asplenium trichomanes</i>-<i>Asplenium ruta-muraria</i> community,OV39 ,National Vegetation Classification,Built up areas and gardens,Built up areas and gardens,17,Biodiversity Action Plan Broad Habitats,may be found in,
Asplenium trichomanes-Asplenium ruta-muraria community,<i>Asplenium trichomanes</i>-<i>Asplenium ruta-muraria</i> community,OV39 ,National Vegetation Classification,Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,overlaps with,
Asplenium trichomanes-Asplenium ruta-muraria community,<i>Asplenium trichomanes</i>-<i>Asplenium ruta-muraria</i> community,OV39 ,National Vegetation Classification,Boundary and linear features,Boundary and linear features,3,Biodiversity Action Plan Broad Habitats,may be found in,
Asplenium trichomanes-Asplenium ruta-muraria community,<i>Asplenium trichomanes</i>-<i>Asplenium ruta-muraria</i> community,OV39 ,National Vegetation Classification,Middle-European calcareous fern cliffs                      ,Middle-European calcareous fern cliffs                                          ,H3.252,EUNIS Classification,contains,
Chrysanthemum segetum-Spergula arvensis community,<i>Chrysanthemum segetum</i>-<i>Spergula arvensis</i> community,OV4,National Vegetation Classification,Cereal field margins,Cereal field margins,,Biodiversity Action Plan Priority Habitats,may be included in,
Chrysanthemum segetum-Spergula arvensis community,<i>Chrysanthemum segetum</i>-<i>Spergula arvensis</i> community,OV4,National Vegetation Classification,Cultivated/disturbed land: arable,Cultivated/disturbed land: arable,J11,Phase 1 Habitat Classification,is contained in,
Chrysanthemum segetum-Spergula arvensis community,<i>Chrysanthemum segetum</i>-<i>Spergula arvensis</i> community,OV4,National Vegetation Classification,Arable and horticultural,Arable and horticultural,4,Biodiversity Action Plan Broad Habitats,may be found in,
Chrysanthemum segetum-Spergula arvensis community,<i>Chrysanthemum segetum</i>-<i>Spergula arvensis</i> community,OV4,National Vegetation Classification,Arable land with unmixed crops grown by low-intensity agricu,Arable land with unmixed crops grown by low-intensity agricultural methods,I1.3,EUNIS Classification,relationship uncertain,
Asplenium viride-Cystopteris fragilis community,<i>Asplenium viride</i>-<i>Cystopteris fragilis</i> community,OV40,National Vegetation Classification,Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,may be included in,
Asplenium viride-Cystopteris fragilis community,<i>Asplenium viride</i>-<i>Cystopteris fragilis</i> community,OV40,National Vegetation Classification,Boundary and linear features,Boundary and linear features,3,Biodiversity Action Plan Broad Habitats,may be found in,
Asplenium viride-Cystopteris fragilis community,<i>Asplenium viride</i>-<i>Cystopteris fragilis</i> community,OV40,National Vegetation Classification,"Natural rock exposure: other exposure, basic","Natural rock exposure: other exposure, basic",I142,Phase 1 Habitat Classification,overlaps with,
Asplenium viride-Cystopteris fragilis community,<i>Asplenium viride</i>-<i>Cystopteris fragilis</i> community,OV40,National Vegetation Classification,"Natural rock exposure: scree, basic","Natural rock exposure: scree, basic",I122,Phase 1 Habitat Classification,overlaps with,
Asplenium viride-Cystopteris fragilis community,<i>Asplenium viride</i>-<i>Cystopteris fragilis</i> community,OV40,National Vegetation Classification,Built up areas and gardens,Built up areas and gardens,17,Biodiversity Action Plan Broad Habitats,may be found in,
Asplenium viride-Cystopteris fragilis community,<i>Asplenium viride</i>-<i>Cystopteris fragilis</i> community,OV40,National Vegetation Classification,Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,overlaps with,
Asplenium viride-Cystopteris fragilis community,<i>Asplenium viride</i>-<i>Cystopteris fragilis</i> community,OV40,National Vegetation Classification,Plants in crevices in base-rich rocks,Calcareous rocky slopes with chasmophytic vegetation,H8210,EU Habitats Directive Annex I,is contained in,H8210
Asplenium viride-Cystopteris fragilis community,<i>Asplenium viride</i>-<i>Cystopteris fragilis</i> community,OV40,National Vegetation Classification,Middle-European calcareous fern cliffs                      ,Middle-European calcareous fern cliffs                                          ,H3.252,EUNIS Classification,contains,
Parietaria diffusa community,<i>Parietaria diffusa</i> community,OV41,National Vegetation Classification,Built up areas and gardens,Built up areas and gardens,17,Biodiversity Action Plan Broad Habitats,may be found in,
Parietaria diffusa community,<i>Parietaria diffusa</i> community,OV41,National Vegetation Classification,Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,overlaps with,
Parietaria diffusa community,<i>Parietaria diffusa</i> community,OV41,National Vegetation Classification,"Natural rock exposure: other exposure, basic","Natural rock exposure: other exposure, basic",I142,Phase 1 Habitat Classification,overlaps with,
Parietaria diffusa community,<i>Parietaria diffusa</i> community,OV41,National Vegetation Classification,Boundary and linear features,Boundary and linear features,3,Biodiversity Action Plan Broad Habitats,may be found in,
Parietaria diffusa community,<i>Parietaria diffusa</i> community,OV41,National Vegetation Classification,Boundaries: wall,Boundaries: wall,J25,Phase 1 Habitat Classification,overlaps with,
Parietaria diffusa community,<i>Parietaria diffusa</i> community,OV41,National Vegetation Classification,Urban and suburban derelict spaces,Urban and suburban derelict spaces,J1.51,EUNIS Classification,relationship uncertain,
Cymbalaria muralis community,<i>Cymbalaria muralis</i> community,OV42,National Vegetation Classification,Boundaries: wall,Boundaries: wall,J25,Phase 1 Habitat Classification,is contained in,
Cymbalaria muralis community,<i>Cymbalaria muralis</i> community,OV42,National Vegetation Classification,Built up areas and gardens,Built up areas and gardens,17,Biodiversity Action Plan Broad Habitats,may be found in,
Cymbalaria muralis community,<i>Cymbalaria muralis</i> community,OV42,National Vegetation Classification,Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,overlaps with,
Cymbalaria muralis community,<i>Cymbalaria muralis</i> community,OV42,National Vegetation Classification,Boundary and linear features,Boundary and linear features,3,Biodiversity Action Plan Broad Habitats,may be found in,
Cymbalaria muralis community,<i>Cymbalaria muralis</i> community,OV42,National Vegetation Classification,"Buildings of cities, towns and villages","Buildings of cities, towns and villages",J1,EUNIS Classification,contains,
Digitaria ischaemum-Erodium cicutarium community,<i>Digitaria ischaemum</i>-<i>Erodium cicutarium</i> community,OV5,National Vegetation Classification,Cultivated/disturbed land: arable,Cultivated/disturbed land: arable,J11,Phase 1 Habitat Classification,is contained in,
Digitaria ischaemum-Erodium cicutarium community,<i>Digitaria ischaemum</i>-<i>Erodium cicutarium</i> community,OV5,National Vegetation Classification,Arable and horticultural,Arable and horticultural,4,Biodiversity Action Plan Broad Habitats,may be found in,
Digitaria ischaemum-Erodium cicutarium community,<i>Digitaria ischaemum</i>-<i>Erodium cicutarium</i> community,OV5,National Vegetation Classification,Arable land with unmixed crops grown by low-intensity agricu,Arable land with unmixed crops grown by low-intensity agricultural methods,I1.3,EUNIS Classification,relationship uncertain,
Cerastium glomeratum-Fumaria muralis ssp. boraei community,<i>Cerastium glomeratum</i>-<i>Fumaria muralis</i> ssp. <i>boraei</i> community,OV6,National Vegetation Classification,Cultivated/disturbed land: arable,Cultivated/disturbed land: arable,J11,Phase 1 Habitat Classification,is contained in,
Cerastium glomeratum-Fumaria muralis ssp. boraei community,<i>Cerastium glomeratum</i>-<i>Fumaria muralis</i> ssp. <i>boraei</i> community,OV6,National Vegetation Classification,Arable and horticultural,Arable and horticultural,4,Biodiversity Action Plan Broad Habitats,may be found in,
Cerastium glomeratum-Fumaria muralis ssp. boraei community,<i>Cerastium glomeratum</i>-<i>Fumaria muralis</i> ssp. <i>boraei</i> community,OV6,National Vegetation Classification,Arable land with unmixed crops grown by low-intensity agricu,Arable land with unmixed crops grown by low-intensity agricultural methods,I1.3,EUNIS Classification,relationship uncertain,
Veronica persica-Veronica polita community,<i>Veronica persica</i>-<i>Veronica polita</i> community,OV7,National Vegetation Classification,Cereal field margins,Cereal field margins,,Biodiversity Action Plan Priority Habitats,may be included in,
Veronica persica-Veronica polita community,<i>Veronica persica</i>-<i>Veronica polita</i> community,OV7,National Vegetation Classification,Arable and horticultural,Arable and horticultural,4,Biodiversity Action Plan Broad Habitats,may be found in,
Veronica persica-Veronica polita community,<i>Veronica persica</i>-<i>Veronica polita</i> community,OV7,National Vegetation Classification,Cultivated/disturbed land: arable,Cultivated/disturbed land: arable,J11,Phase 1 Habitat Classification,is contained in,
Veronica persica-Veronica polita community,<i>Veronica persica</i>-<i>Veronica polita</i> community,OV7,National Vegetation Classification,Intensive unmixed crops,Intensive unmixed crops,I1.1,EUNIS Classification,relationship uncertain,
Veronica persica-Alopecurus myosuroides community,<i>Veronica persica</i>-<i>Alopecurus myosuroides</i> community,OV8,National Vegetation Classification,Cereal field margins,Cereal field margins,,Biodiversity Action Plan Priority Habitats,may be included in,
Veronica persica-Alopecurus myosuroides community,<i>Veronica persica</i>-<i>Alopecurus myosuroides</i> community,OV8,National Vegetation Classification,Arable and horticultural,Arable and horticultural,4,Biodiversity Action Plan Broad Habitats,may be found in,
Veronica persica-Alopecurus myosuroides community,<i>Veronica persica</i>-<i>Alopecurus myosuroides</i> community,OV8,National Vegetation Classification,Cultivated/disturbed land: arable,Cultivated/disturbed land: arable,J11,Phase 1 Habitat Classification,is contained in,
Veronica persica-Alopecurus myosuroides community,<i>Veronica persica</i>-<i>Alopecurus myosuroides</i> community,OV8,National Vegetation Classification,Intensive unmixed crops,Intensive unmixed crops,I1.1,EUNIS Classification,relationship uncertain,
Matricaria perforata-Stellaria media community,<i>Matricaria perforata</i>-<i>Stellaria media</i> community,OV9,National Vegetation Classification,Cereal field margins,Cereal field margins,,Biodiversity Action Plan Priority Habitats,may be included in,
Matricaria perforata-Stellaria media community,<i>Matricaria perforata</i>-<i>Stellaria media</i> community,OV9,National Vegetation Classification,Cultivated/disturbed land: arable,Cultivated/disturbed land: arable,J11,Phase 1 Habitat Classification,is contained in,
Matricaria perforata-Stellaria media community,<i>Matricaria perforata</i>-<i>Stellaria media</i> community,OV9,National Vegetation Classification,Arable and horticultural,Arable and horticultural,4,Biodiversity Action Plan Broad Habitats,may be found in,
Matricaria perforata-Stellaria media community,<i>Matricaria perforata</i>-<i>Stellaria media</i> community,OV9,National Vegetation Classification,Mixed crops of market gardens and horticulture,Mixed crops of market gardens and horticulture,I1.2,EUNIS Classification,relationship uncertain,
